Year,Annual_Avg_LandTemperature
1850,7.900666666666667
1851,8.178583333333334
1852,8.100166666666667
1853,8.041833333333333
1854,8.2105
1855,8.11075
1856,7.995916666666666
1857,7.758166666666667
1858,8.10025
1859,8.252
1860,7.960833333333333
1861,7.8465
1862,7.558583333333334
1863,8.111833333333333
1864,7.983583333333333
1865,8.177833333333334
1866,8.292166666666667
1867,8.436333333333334
1868,8.247916666666667
1869,8.432083333333333
1870,8.201333333333332
1871,8.115083333333333
1872,8.193833333333332
1873,8.351083333333333
1874,8.4335
1875,7.859583333333333
1876,8.080083333333333
1877,8.539583333333333
1878,8.829749999999999
1879,8.165833333333333
1880,8.11875
1881,8.270916666666666
1882,8.128916666666667
1883,7.976916666666667
1884,7.773666666666666
1885,7.919666666666667
1886,7.9545
1887,7.914916666666667
1888,8.0905
1889,8.319
1890,7.971666666666667
1891,8.019333333333334
1892,8.065833333333332
1893,8.05675
1894,8.161
1895,8.147
1896,8.214916666666667
1897,8.293333333333333
1898,8.177999999999999
1899,8.396333333333333
1900,8.501583333333334
1901,8.541916666666667
1902,8.304416666666667
1903,8.220166666666666
1904,8.090916666666667
1905,8.225166666666667
1906,8.379083333333332
1907,7.947166666666667
1908,8.186083333333334
1909,8.17825
1910,8.223
1911,8.177
1912,8.165416666666667
1913,8.29775
1914,8.5905
1915,8.593166666666667
1916,8.22525
1917,8.023333333333333
1918,8.130833333333333
1919,8.38225
1920,8.358749999999999
1921,8.571
1922,8.408
1923,8.422166666666667
1924,8.506833333333335
1925,8.534416666666667
1926,8.728833333333332
1927,8.522083333333333
1928,8.632166666666667
1929,8.242416666666667
1930,8.633583333333332
1931,8.71925
1932,8.70525
1933,8.33825
1934,8.628333333333334
1935,8.51575
1936,8.554
1937,8.698333333333332
1938,8.863666666666667
1939,8.760333333333334
1940,8.764666666666667
1941,8.768666666666666
1942,8.728416666666666
1943,8.755083333333333
1944,8.845
1945,8.584833333333334
1946,8.676916666666667
1947,8.797083333333333
1948,8.74675
1949,8.58675
1950,8.365250000000001
1951,8.625666666666667
1952,8.638250000000001
1953,8.87375
1954,8.560666666666666
1955,8.62625
1956,8.279583333333333
1957,8.7325
1958,8.77375
1959,8.732666666666667
1960,8.58375
1961,8.797666666666666
1962,8.745916666666666
1963,8.856
1964,8.409666666666666
1965,8.527416666666666
1966,8.599333333333332
1967,8.700083333333334
1968,8.516333333333334
1969,8.595083333333333
1970,8.700916666666666
1971,8.59925
1972,8.499583333333334
1973,8.94825
1974,8.4675
1975,8.744833333333334
1976,8.34725
1977,8.85025
1978,8.69275
1979,8.733416666666667
1980,8.980333333333332
1981,9.165833333333333
1982,8.639166666666666
1983,9.028166666666666
1984,8.691833333333333
1985,8.658
1986,8.833583333333333
1987,8.994416666666666
1988,9.201583333333334
1989,8.921999999999999
1990,9.234166666666667
1991,9.179416666666667
1992,8.836583333333333
1993,8.866583333333333
1994,9.03875
1995,9.347083333333334
1996,9.038916666666667
1997,9.202583333333333
1998,9.522666666666668
1999,9.285083333333334
2000,9.201166666666667
2001,9.414583333333333
2002,9.570416666666667
2003,9.525583333333334
2004,9.324583333333333
2005,9.700916666666666
2006,9.5325
2007,9.732166666666666
2008,9.43175
2009,9.50525
2010,9.703083333333334
2011,9.516
2012,9.507333333333333
2013,9.6065
2014,9.570666666666666
2015,9.831
