dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
01/01/1850,0.7490000000000001,1.105,8.241999999999999,1.7380000000000002,-3.2060000000000004,2.822,12.832999999999998,0.3670000000000001
02/01/1850,3.071,1.275,9.97,3.007,-2.2910000000000004,1.6230000000000002,13.588,0.414
03/01/1850,4.954,0.955,10.347,2.401,-1.905,1.41,14.043,0.341
04/01/1850,7.217,0.665,12.934,1.004,1.018,1.329,14.667,0.267
05/01/1850,10.004,0.617,15.655,2.406,3.811,1.347,15.507,0.249
06/01/1850,13.15,0.614,18.946,2.817,7.106,0.857,16.352999999999998,0.245
07/01/1850,14.492,0.614,19.233,2.84,8.014,0.7859999999999999,16.783,0.238
08/01/1850,14.039,0.802,18.477,2.079,7.405999999999999,1.086,16.718,0.28
09/01/1850,11.505,0.675,15.846000000000002,2.692,4.533,1.798,15.886,0.254
10/01/1850,8.091000000000001,0.863,13.189,2.338,2.013,2.133,14.831,0.297
11/01/1850,4.7330000000000005,1.149,11.388,3.491,-0.12,1.069,13.897,0.368
12/01/1850,2.803,1.183,7.492999999999999,1.925,-2.8070000000000004,2.594,13.3,0.378
01/01/1851,2.431,1.122,8.950999999999997,2.399,-2.443,1.771,13.245,0.362
02/01/1851,2.508,1.1,9.808,2.654,-1.507,2.714,13.331,0.361
03/01/1851,4.192,0.971,11.507,2.037,-0.7000000000000001,1.611,13.897,0.33
04/01/1851,7.286999999999999,0.8290000000000001,14.236,1.97,2.331,1.281,14.64,0.298
05/01/1851,11.113,0.936,15.010000000000002,3.184,4.136,1.011,15.771,0.322
06/01/1851,13.418,0.655,17.287999999999997,3.187,6.3740000000000006,1.13,16.496000000000002,0.261
07/01/1851,14.531,0.606,17.102999999999998,3.751,7.425,1.48,16.831,0.244
08/01/1851,13.751,0.775,17.360999999999994,1.392,6.594999999999999,1.281,16.621000000000002,0.276
09/01/1851,11.677,0.581,16.360000000000007,2.496,5.525,1.643,16.058,0.25
10/01/1851,9.122,1.058,14.961,1.915,3.298,1.297,15.213,0.358
11/01/1851,4.973,0.968,7.951,1.833,-1.345,1.527,14.161,0.344
12/01/1851,3.14,0.982,6.436,1.949,-3.242,2.843,13.638,0.339
01/01/1852,2.3760000000000003,1.389,8.474,4.24,-2.7550000000000003,1.705,13.231,0.438
02/01/1852,2.54,1.115,8.568999999999999,2.737,-2.337,1.78,13.311,0.371
03/01/1852,3.884,0.915,9.215,2.88,-2.491,1.471,13.736,0.317
04/01/1852,7.486999999999999,1.158,11.249,1.491,0.6469999999999998,1.256,14.786,0.377
05/01/1852,11.169,0.855,15.835,2.805,4.6240000000000006,0.971,15.899,0.298
06/01/1852,13.164,0.636,17.759999999999994,1.925,6.705,0.6829999999999999,16.619,0.243
07/01/1852,14.512,0.778,17.795,2.924,7.57,1.35,16.984,0.278
08/01/1852,13.304,0.7659999999999999,17.567,1.812,7.4289999999999985,1.222,16.566,0.277
09/01/1852,11.478,0.6890000000000001,16.665000000000006,1.4069999999999998,5.742000000000001,1.51,16.038,0.261
10/01/1852,8.91,0.654,14.849,1.4980000000000002,2.813,0.963,15.178,0.25
11/01/1852,4.593,0.693,12.009,4.373,0.736,1.48,13.948,0.26
12/01/1852,3.785,1.371,10.781,3.339,-0.6390000000000001,2.204,13.782,0.4270000000000001
01/01/1853,1.786,1.108,8.972000000000001,2.461,-2.818,1.556,13.143,0.356
02/01/1853,2.228,1.492,8.29,1.535,-3.213,1.783,13.362,0.457
03/01/1853,4.078,0.918,10.325,2.294,-1.966,1.494,14.033,0.306
04/01/1853,7.540999999999999,0.8240000000000001,13.72,2.69,1.6549999999999998,1.15,14.919,0.283
05/01/1853,10.975,0.743,16.543000000000006,3.36,4.364000000000001,0.782,15.793,0.261
06/01/1853,13.41,0.674,18.611,1.124,6.944000000000001,1.418,16.455000000000002,0.24
